,Category,top10,top10_scores
53,computer graphics,"['yotam gingold', 'jinwei ye', 'monson hayes', 'tamara maddox', 'duoduo liao', 'binqian yin', 'john otten', 'gheorghe tecuci', 'evgenios kornaropoulos', 'grigory yaroslavtsev']","[0.10437985190605273, 0.09989025144463456, 0.09470458887224525, 0.09404608211447978, 0.09274167391033583, 0.09245003270420485, 0.09128709291752769, 0.09054617628613958, 0.0882427294151897, 0.08606629658238704]"
54,computer vision pattern recognition,"['alexander levis', 'abolfazl safikhani', 'qi wei', 'yotam gingold', 'vadim sokolov', 'ben seiyon lee', 'jim chen', 'monson hayes', 'daniel menasce', 'edward huang']","[0.17530021693699763, 0.17522883189554656, 0.1687033626471696, 0.16225202625713345, 0.1570485504597493, 0.152779603500286, 0.14886344460723158, 0.14166024254221232, 0.14139836029795835, 0.14074164302253486]"
55,virtual reality,"['nicholas rios', 'jonathan l auerbach', 'jim chen', 'brett hunter', 'dimitrios ioannou', 'nathan kathir', 'lucas henneman', 'zhisheng yan', 'kun sun', 'james baldo']","[0.10603550592865817, 0.09667879558564126, 0.07919076090524077, 0.07689464481087925, 0.0735764468564051, 0.07259540086406278, 0.07075526316836757, 0.06426296397753031, 0.06286878039054926, 0.0626519193051618]"
56,analyzing healthcare records,"['̦zlem uzuner', 'duminda wijesekera', 'daniel barbara', 'vasiliki ikonomidou', 'paul ammann', 'jim chen', 'john shortle', 'carlotta domeniconi', 'mahdi hashemi', 'daniel menasce']","[0.16138353349055778, 0.14069875627453682, 0.1281376917723086, 0.1278404309961073, 0.12480848768942368, 0.12312389696848985, 0.12194650678205377, 0.11879111910805419, 0.11730597826375212, 0.11087874339797317]"
57,analyzing human movement,"['jim chen', 'abolfazl safikhani', 'jan allbeck', 'kevin lybarger', 'lucas henneman', 'vasiliki ikonomidou', 'mahdi hashemi', 'karla hoffman', 'john shortle', 'jonathan l auerbach']","[0.16067050584200074, 0.14771714754436532, 0.1256824902001551, 0.12390010681451981, 0.12343673513476086, 0.11939576725689537, 0.11914791983172299, 0.11820189647374461, 0.10759013260527436, 0.10748605677346858]"
58,collecting analyzing data wearable devices,"['janis terpenny', 'george hazelrigg', 'ray hong', 'vivian genaro motti', 'aditya johri', 'edward huang', 'niloofar ramezani', 'robert pettit', 'parth pathak', 'alexander levis']","[0.2580953228423976, 0.19866571700176028, 0.1917554953829932, 0.18173973667335933, 0.1741255879456963, 0.17088657002987542, 0.16524288302005402, 0.16520841217647012, 0.16042520784462755, 0.16020932069224708]"
59,diagnostic medicine,"['̦zlem uzuner', 'vasiliki ikonomidou', 'daniel barbara', 'jim chen', 'siddhartha sikdar', 'kevin lybarger', 'aditya johri', 'monson hayes', 'carlotta domeniconi', 'xuesu xiao']","[0.13349854214063409, 0.11737872191741831, 0.1088592834324747, 0.10411259451629656, 0.10220856186096294, 0.10072586328548827, 0.09767017890470886, 0.09765219510184518, 0.09514127468666125, 0.09030010134504465]"
60,modeling health outcomes statistical analysis including longitudinal,"['abolfazl safikhani', 'alexander levis', 'tianshu feng', 'jim chen', 'vadim sokolov', 'john shortle', 'lily wang', 'qi wei', 'yotam gingold', 'edward huang']","[0.2398287574981059, 0.23687996930986094, 0.23350115446126324, 0.23032723494802165, 0.22027557930161853, 0.21053706005317321, 0.20748091328031554, 0.20670221060928243, 0.2043450874006949, 0.20151201397132634]"
61,time series,"['jessica lin', 'elise miller hooks', 'syed abbas zaidi', 'rajesh ganesan', 'cameron nowzari', 'fei li', 'abolfazl safikhani', 'mohan venigalla', 'daniel barbara', 'leonard adelman']","[0.372878576890998, 0.2529451347557107, 0.22471911577754417, 0.2147709928505226, 0.20893770003149054, 0.18724756660421082, 0.18596504064385036, 0.1855577240059979, 0.17831917379490259, 0.17465551793434636]"
62,survival models,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'qi wei', 'edward huang', 'daniel menasce', 'alexander brodsky', 'kim blackwell', 'syed abbas zaidi']","[0.2520705457380454, 0.24660817100761873, 0.2335129456529657, 0.21517169495198057, 0.19554187686488486, 0.19036373736341858, 0.1889761600127289, 0.18299582442548, 0.1817706407385996, 0.18014203960759276]"
63,modeling nanoparticles,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'qi wei', 'tianshu feng', 'edward huang', 'lily wang', 'kim blackwell', 'ran ji']","[0.3232521973429334, 0.31677354576345285, 0.26971856121271254, 0.2521485774678003, 0.24819836024158332, 0.24445168756471639, 0.22360345042547036, 0.22033998176430525, 0.21745825026612178, 0.2096405833153152]"
64,bio inspired nanoarchitectures control cell behavior,"['duminda wijesekera', 'jim chen', 'parth pathak', 'cameron nowzari', 'daniel barbara', 'mingkui wei', 'alexander levis', 'karla hoffman', 'ray hong', 'michael hieb']","[0.22195762704270605, 0.19379067290586097, 0.18127074511653757, 0.16772253079173363, 0.16471807343130512, 0.16457364378171452, 0.16404243082682018, 0.16365445651923669, 0.16360095827862328, 0.16017876924387509]"
65,biomaterials regenerative medicine,"['̦zlem uzuner', 'grigory yaroslavtsev', 'gheorghe tecuci', 'ioulia rytikova', 'isuru dassanayake', 'xuesu xiao', 'vasiliki ikonomidou', 'daniel barbara', 'katherine russell', 'ebrima ceesay']","[0.10467781649952441, 0.07905694150420949, 0.07321230464465556, 0.07270938134338886, 0.07132467526968195, 0.06905625301018209, 0.06881937589367382, 0.0660836835596543, 0.06604398070878825, 0.0653768789336169]"
66,delivery nanoparticles,"['xuan wang', 'chun hung chen', 'john shortle', 'leonard adelman', 'cameron nowzari', 'paul ammann', 'elise miller hooks', 'fei li', 'brian mark', 'qiliang li']","[0.08182102026624172, 0.05796991259443517, 0.054773085467162266, 0.04976443041286812, 0.04643272635019114, 0.04596955673954585, 0.04461972439515762, 0.043133202050454574, 0.04294718949463035, 0.04225507082918416]"
67,ultrasound imaging devices,"['janis terpenny', 'parth pathak', 'jinwei ye', 'parag chitnis', 'monson hayes', 'siddhartha sikdar', 'vasiliki ikonomidou', 'ray hong', 'yotam gingold', 'jim chen']","[0.2702051099846162, 0.2680344278382945, 0.25644686483329787, 0.2552645896996454, 0.2487413634904479, 0.24459374028681236, 0.24218839089247673, 0.24106634946629418, 0.23792515457051325, 0.23565690755152258]"
